Nome;Codigo;Rio
ALDEIA DOS PATOS;13439000;ACRE
ASSIS BRASIL;13450000;ACRE
BRASILEIA;13470000;ACRE
COLONIA DOLORES;13540000;XAPURI
XAPURI;13550000;ACRE
CAPIXABA;13568000;ACRE
ESPALHA;13572000;DO ROLA
RIO ROLA;13578000;DO ROLA
RIO BRANCO;13600002;ACRE
CACHOEIRA DA MANTEIGA;42210000;S√O FRANCISCO
PIRAPORA;41135000;S√O FRANCISCO
S√O FRANCISCO;44200000;S√O FRANCISCO
S√O ROM√O;43200000;S√O FRANCISCO
PORTO VELHO;15400000;MADEIRA
UHE JIRAU JUSANTE RIO BENI;15318000;MADEIRA
GUAJAR¡-MIRIM;15250000;MAMOR…
URUGUAIANA;77150000;URUGUAI
ITAQUI;76900000;URUGUAI
PASSO S√O BORJA;75780000;URUGUAI
SANTA ROSA DE LIMA;50080000;SERGIPE
CAMINHO DO RIO;50169500;VAZA BARRIS
FAZENDA BEL…M;50191000;VAZA BARRIS
USINA ALTAMIRA;50595000;ITAPICURU
CORTE GRANDE;50660000;INHAMBUPE
PEDRA DO SALGADO;50785000;POJUCA
TIRIRICA;50795000;POJUCA
ITAET…;51240000;PARAGUA«U
IA«U;51280000;PARAGUA«U
NILO PE«ANHA;51890000;DAS ALMAS OU JEQUI…
CH MORAIS JUSANTE;53470000;PARDO
PASSAGEM DAS …GUAS;53460500;PARDO
FAZENDA NANCY;53880000;PARDO
ITAPETINGA;53780000;CATOL… GRANDE
INHOBIM;53630000;PARDO
CANDIDO SALES;53620000;PARDO
VEREDA DO PARAÕSO;53540001;PARDO
MASCOTE;53950000;PARDO
CARACARAI;14710000;BRANCO
BOA VISTA;14620000;BRANCO
PONTE DO TACUTU;14527000;TACUTU
FAZENDA CAJUPIRANGA;14495000;URARICOERA
FE E ESPERANCA;14680001;MUCAJA√É¬ç
FAZENDA PARAISO;14528000;TACUTU
FAZENDA PASSARAO;14515000;URARICOERA
MARACA;14489000;URARICOERA
VILA SURUMU;14530000;SURUMU
MUCAJAI;14690000;MUCAJA√É¬ç
ITAPERUNA;58940000;MURIAE
CARDOSO MOREIRA;58960000;MURIAE
SANTO ANTONIO DE PADUA;58790002;POMBA
APERIBE;58792100;POMBA
JUAZEIRO;48020000;S√O FRANCISCO
SANTA MARIA DA BOA VISTA;48290000;S√O FRANCISCO
OROC”;48395000;S√O FRANCISCO
MATA DE S√O JOS…;48395500;S√O FRANCISCO
IB”;48590000;S√O FRANCISCO
BEL…M DO S√O FRANCISCO;48699000;S√O FRANCISCO
PIRANHAS;49330000;S√O FRANCISCO
P√O DE A«⁄CAR;49370000;S√O FRANCISCO
TRAIPU;49660000;S√O FRANCISCO
PROPRI¡;49705000;S√O FRANCISCO
PENEDO;49740000;S√O FRANCISCO
BREJO GRANDE;49775000;S√O FRANCISCO
CURA«A;48270000;S√O FRANCISCO
CABROB”;48520000;S√O FRANCISCO
FAZENDA S√O MIGUEL;48561000;S√O FRANCISCO
PETROL¬NDIA;49030000;S√O FRANCISCO
IC” - PETROL¬NDIA;49031000;S√O FRANCISCO
ITAPARICA - MONTANTE;49040000;S√O FRANCISCO
ITAPARICA - JUSANTE;49041000;S√O FRANCISCO
GL”RIA;49050000;S√O FRANCISCO
BARRA DE PAULO AFONSO;49205000;S√O FRANCISCO
CACHOEIRA DE PAULO AFONSO;49210000;S√O FRANCISCO
CACHOEIRA DOS VEADOS (XINGO III);49310000;S√O FRANCISCO
SANTO HIP”LITO;41818000;DAS VELHAS
V¡RZEA DA PALMA;41990000;DAS VELHAS
PORTO DA EXTREMA;42690001;PARACATU
PORTO ALEGRE;42980000;PARACATU
PEDRAS DE MARIA DA CRUZ;44290003;S√O FRANCISCO
MANGA;44500000;S√O FRANCISCO
GADO BRAVO;44940000;VERDE GRANDE
CARINHANHA;45298000;S√O FRANCISCO
S√O GON«ALO;45131000;CARINHANHA
BOM JESUS DA LAPA;45480000;S√O FRANCISCO
PORTO NOVO;45960001;CORRENTES
MORPARA;46360000;S√O FRANCISCO
BARRA;46998000;S√O FRANCISCO
BOQUEIR√O;46902000;GRANDE
GAMELEIRA;46035000;S√O FRANCISCO
PARATINGA;46105000;S√O FRANCISCO
IBOTIRAMA;46150000;S√O FRANCISCO
UHE SOBRADINHO MONTANTE 2;46150001;S√O FRANCISCO
MORPAR¡;46360000;S√O FRANCISCO
PEDRAS DE MARIA DA CRUZ;44290002;S√O FRANCISCO
UHE TR S MARIAS JUSANTE;41020002;S√O FRANCISCO
PCH SALTO DO PARAOPEBA PONTE BR-040;41090002;ABAET…
UHE SOBRADINHO JUSANTE;47771000;S√O FRANCISCO
ARINOS MONTANTE;43429998;URUCUIA
ITUPIRANGA;29200000;TOCANTINS
MARAB¡;29050000;TOCANTINS
DESCARRETO;23700000;TOCANTINS
BARRA DO GAR«AS;24700000;ARAGUAIA
ARAGUAINA;24850000;ARAGUAIA
ARUAN√;25200000;ARAGUAIA
BANDEIRANTES;25700000;ARAGUAIA
S√O F…LIX DO ARAGUAIA;26350000;ARAGUAIA
ARAGUACEMA (CHACARA ARAGUAIA);27320000;ARAGUAIA
XAMBIO¡;28300000;ARAGUAIA
CONCEI«√O DO ARAGUAIA;27500000;ARAGUAIA
JI-PARANA;15560000;MACHADO
MORADA NOVA JUSANTE;15326000;ABUN√
CORRENTES II;39689000;MUNDAU
SANTANA DO MUNDAU;39700000;MUNDAU
PALMERINA;39715000;PALMERINA
CANHOTINHO;39575000;CANHOTO 
S√O JOSE DA LAJE;39720000;CANHOTO 
UNIAO DOS PALMARES;39740000;MUNDAU
MURICI PONTE;39760000;MUNDAU
FAZ BOA FORTUNA;39770000;MUNDAU
ALTAMIRA;18850000;XINGU
BOA SORTE;18460000;XINGU
PEDRA DO O;18700000;IRIRI
C¡CERES (DNPVN);66070004;PARAGUAI
BELA VISTA DO NORTE;66125000;PARAGUAI
PORTO S√O FRANCISCO;66810000;PARAGUAI
FORTE COIMBRA;66970000;PARAGUAI
AQUIDAUANA;66945000;AQUIDAUANA
MIRANDA;66910000;MIRANDA
PORTO MURTINHO;67100000;PARAGUAI
LAD¡RIO;66825000;PARAGUAI
BARRA DO BUGRES;66010000;PARAGUAI
BARRANCO BRANCO;67030000;PARAGUAI
ACIMA DO C”RREGO GRANDE ;66460000;S√O LOUREN«O
COXIM;66870000;TAQUARI
